Name,taxonomy_id,genome_size,,Source (only if perplexity ai is used)
Calditerrivibrio nitroreducens,477976,2216552,,
Marinomonas primoryensis,178399,4068722,,
Lysobacter antibioticus,84531,5916388,,
Acinetobacter indicus,756892,3084932,,
Pseudomonas reinekei,395598,6312685,,
Limnohabitans sp. 63ED37-2,1678128,3372992,,
Limnohabitans sp. 103DPR2,1678129,2948795,,
Leptotrichia sp. oral taxon 212,712357,2134687,,
Cyclobacterium amurskyense,320787,6158829,,
Bacillus circulans,1397,5179558,,
Clostridium butyricum,1492,4639914,,
Clostridium cellulovorans,1493,5262222,,
Enterobacter ludwigii,299767,4952770,,
Hymenobacter swuensis,1446467,5252070,,
Clostridioides difficile,1496,4095894,,
Bacillus cereus,1396,5836971,,
Hathewaya histolytica,1498,2740791,,
Frankia alni,1859,7497934,,
Candidatus Phytoplasma ziziphi,135727,750803,,
Mycoplasma columbinasale,114880,849456,,
Hymenobacter sp. APR13,1356852,5010594,,
Paenibacillus sp. 32O-W,1695218,5570910,,
Streptomyces lunaelactis,1535768,8570191,,
Corynebacterium stationis,1705,2862233,,
Mycoplasma arginini,2094,678592,,
Cellulomonas fimi,1708,4266344,,
[Eubacterium] eligens,39485,2831389,,
Lactobacillus salivarius,1624,2071255,,
Draconibacterium orientale,1168034,5073141,,
Bacillus anthracis,1392,5503926,,
Candidatus Kinetoplastibacterium blastocrithidii,233181,820037,,
Haematobacter massiliensis,195105,4232912,,
Candidatus Desulfofervidus auxilii,1621989,2540211,,
Corynebacterium humireducens,1223514,2621735,,
Enterobacter sp. SA187,1914861,4429597,,
Mycoplasma columbinum,114881,776661,,
Candidatus Aquiluna sp. UB-MaderosW2red,1855377,1663904,,
Methylorubrum populi,223967,5848997,,
Coriobacteriaceae bacterium 68-1-3,1531429,1967093,,
Cronobacter condimenti,1163710,4499482,,
Rhodococcus sp. NJ-530,2490853,7324898,,
Deinococcus gobiensis,502394,4406036,,
Aeromonas sp. CA23,2033032,5099209,,
Aeromonas sp. CU5,2033033,4615599,,
Dyella japonica,231455,4237705,,
Streptococcus himalayensis,1888195,2275471,,
Chlorobaculum tepidum,1097,2154946,,
Azospira oryzae,146939,3806980,,
Paenibacillus terrae,159743,6083395,,
Vibrio breoganii,553239,4236677,,
Lactobacillus johnsonii,33959,1951416,,
Halanaerobium hydrogeniformans,656519,2613117,,
Rickettsia endosymbiont of Ixodes scapularis,444612,2100092,,
Sphingobacterium sp. 21,743722,"6,226,409",,https://www.genome.jp/kegg-bin/show_organism?org=shg
Mycoplasma hyopneumoniae,2099,921093,,
Thalassospira indica,1891279,4701725,,
Streptomyces sp. WAC00288,2094021,7852859,,
Rhodocyclaceae bacterium,1898103,3195090,,
Aureitalea sp. RR4-38,2094025,3182272,,
Acidiphilium cryptum,524,3963080,,
Vibrio hyugaensis,1534743,5612082,,
Enterobacter hormaechei,158836,4855498,,
Capnocytophaga ochracea,1018,2612925,,
Acinetobacter soli,487316,3520755,,
Staphylococcus pettenkoferi,170573,2502360,,
Weeksella virosa,1014,2287133,,
Sphingomonas sp. JJ-A5,1921510,3787976,,
Deinococcus sp. NW-56,2080419,3567228,,
Burkholderia sp. CCGE1003,640512,4900000,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-535
Ochrobactrum anthropi,529,4858647,,
Burkholderia sp. CCGE1001,640510,68300000,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-535
Burkholderia sp. CCGE1002,640511,8425670,,
Pseudodesulfovibrio profundus,57320,4217908,,
Acetobacter oryzifermentans,1633874,3127455,,
Sulfuriferula sp. AH1,1985873,2916145,,
Nitrosospira multiformis,1231,3234309,,
Dokdonia sp. PRO95,1239415,3305193,,
Stanieria sp. NIES-3757,1807358,5463308,,
Flavobacteriaceae bacterium,1871037,1627520,,
Corynebacterium lactis,1231000,2769745,,
Kangiella sediminilitoris,1144748,2496140,,
Propionimicrobium sp. Marseille-P3275,1871034,2010679,,
Piscirickettsia salmonis,1238,3351503,,
Streptomyces luteoverticillatus,66425,7367863,,
Bifidobacterium scardovii,158787,3158347,,
Jonesia denitrificans,43674,2749647,,
Candidatus Puniceispirillum marinum,767892,2753527,,
Sneathia amnii,187101,1330224,,
Glutamicibacter arilaitensis,256701,3918192,,
Actinobacteria bacterium IMCC19121,1848754,1506415,,
Serratia quinivorans,137545,5376744,,
Candidatus Arsenophonus lipoptenae,634113,836724,,
Mycoplasma dispar,86660,1084449,,
Bacillus halodurans,86665,4315604,,
Bacillus flexus,86664,4131040,,
Anaerostipes rhamnosivorans,1229621,3588860,,
Lactobacillus terrae,2269374,1548794,,
Alcanivorax xenomutans,1094342,4528424,,
Corynebacterium geronticis,2079234,2263210,,
Legionella sainthelensi,28087,4597280,,
Winogradskyella sp. PC-19,754417,2977523,,
Legionella cherrii,28084,3696762,,
Legionella anisa,28082,4362280,,
Acetobacter pasteurianus,438,3403928,,
Campylobacter upsaliensis,28080,1656401,,
Komagataeibacter hansenii,436,3549186,,
Solibacillus silvestris,76853,4001480,,
Acetobacter aceti,435,3690768,,
Streptomyces sp. CCM_MD2014,1561022,8274043,,
Corynebacterium ulcerans,65058,2502095,,
Frankia casuarinae,106370,5433628,,
Nostoc sp. 'Peltigera membranacea cyanobiont' N6,1261031,8898590,,
Nocardia sp. Y48,2213200,7310115,,
Acinetobacter sp. TGL-Y2,1407071,4113410,,
Actinomyces gaoshouyii,1960083,2359360,,
Celeribacter indicus,1208324,4969388,,
Actinoalloteichus hoggarensis,1470176,6606717,,
Sporosarcina sp. P37,1930546,3335999,,
Mycoplasma parvum,984991,564395,,
Pandoraea apista,93218,5571260,,
Pandoraea norimbergensis,93219,6167370,,
Bacillus sp. WR11,2448811,4202080,,
Thermovibrio ammonificans,228745,1759526,,
Pseudomonas alcaliphila,101564,5411334,,
Aminobacterium colombiense,81468,1980592,,
Phoenicibacter congonensis,1944646,1447956,,
Halomonas beimenensis,475662,4053030,,
Massilia oculi,945844,5844653,,
Bacillus xiamenensis,1178537,3637729,,
Providencia heimbachae,333962,4286000,,
Rhodobacter sp. LPB0142,1850250,3780829,,
Citrobacter freundii complex sp. CFNIH2,2066049,5340584,,
Arcobacter sp. LPB0137,1850254,2866429,,
Candidatus Carsonella ruddii,114186,166163,,
Cellvibrio japonicus,155077,4576591,,
Microbacterium sp. PM5,2014534,3158783,,
Formosa sp. Hel1_31_208,1798225,3098771,,
Methylobacterium sp. C1,1479019,6459145,,
Myroides sp. A21,1583100,4155464,,
Desulfovibrio ferrophilus,241368,3720107,,
Azospirillum humicireducens,1226968,6862695,,
Agrobacterium sp. H13-3,861208,5641682,,
Massilia putida,1141883,7523017,,
Methylovorus glucosotrophus,266009,3082007,,
Actinomadura amylolytica,1411117,6800142,,
Sphingomonas sp. LM7,1938607,4155514,,
Mucilaginibacter gotjawali,1550579,6343898,,
Janthinobacterium sp. Marseille,375286,4110251,,
Fusobacterium varium,856,3346458,,
Amycolatopsis orientalis,31958,9490992,,
Thalassospira marina,2048283,5438289,,
Myroides odoratimimus,76832,3938030,,
Yersinia aleksiciae,263819,4526044,,
Thalassospira xiamenensis,220697,4768950,,
Porphyrobacter sp. CACIAM 03H1,2003315,3525223,,
Butyrivibrio proteoclasticus,43305,4404886,,
Pseudarthrobacter phenanthrenivorans,361575,4450468,,
Herminiimonas arsenitoxidans,1809410,3784322,,
Flavobacterium gilvum,1492737,4402594,,
Kyrpidia spormannii,2055160,3352175,,
Streptomyces sp. ZFG47,2184053,10239272,,
Solitalea canadensis,995,5202069,,
Calothrix parietina,32054,9242072,,
Thermosynechococcus vulcanus,32053,3717564,,
Tolumonas auensis,43948,3471292,,
Synechococcus sp. WH 7803,32051,2366980,,
Helicobacter bizzozeronii,56877,1787261,,
Komagataeibacter xylinus,28448,3727795,,
Phytobacter sp. SCO41,1756993,5599325,,
Elizabethkingia meningoseptica,238,4004759,,
Pseudoalteromonas sp. NC201,1514074,5378320,,
Aerococcus urinaehominis,128944,1831400,,
Amycolatopsis mediterranei,33910,10246864,,
Brucella abortus,235,3278307,,
Oenococcus sp. UCMA 16435,2259623,2030442,,
Thermanaerovibrio velox,108007,1880838,,
Ilyobacter polytropus,167642,3132314,,
Corynebacterium vitaeruminis,38305,2931780,,
Burkholderia sp. YI23,1097668,8896411,,
Agromyces sp. LHK192,2498704,4088319,,
Winogradskyella sp. J14-2,1936080,3349669,,
Amycolatopsis albispora,1804986,9121443,,
Clostridium sp. BNL1100,755731,4613747,,
Burkholderia sp. OLGA172,1804984,"6,590,914",,https://repository.kopri.re.kr/bitstream/201206/13032/1/2021-0032.pdf
Muribaculum intestinale,1796646,3306457,,
Gardnerella vaginalis,2702,1675681,,
Streptomyces sp. KPB2,2305221,8082236,,
Stenotrophomonas sp. Pemsol,2040586,4373402,,
Bacillus toyonensis,155322,5787787,,
Sphingobium sp. MI1205,407020,4619375,,
Roseiflexus sp. RS-1,357808,5801598,,
Frankia sp. EAN1pec,298653,8982042,,
Luteimonas sp. 100111,2006110,3351776,,
Erythrobacter litoralis,39960,3251353,,
Borrelia turicatae,142,1165365,,
Borrelia anserina,143,1042690,,
Borrelia hermsii,140,1161689,,
Microlunatus phosphovorus,29405,5683123,,
Campylobacter lanienae,75658,1594554,,
Dechloromonas sp. HYN0024,2231055,3258300,,
Sphingobium sp. SYK-6,627192,4348133,,
Thiomicrorhabdus sp. 13-15A,2267253,2829883,,
Mycobacterium liflandii,261524,6322130,,
Octadecabacter temperatus,1458307,3264628,,
Marinobacter salinus,1874317,4121005,,
Synechococcus sp. PCC 8807,195248,3304088,,
Nocardia terpenica,455432,8918539,,
Commensalibacter sp. AMU001,2478912,1999809,,
Planctopirus limnophila,120,5460085,,
Actinomyces tangfeifanii,1912795,2207832,,
Actinomyces radicidentis,111015,3051613,,
Micromonospora inositola,47865,6708094,,
Isoptericola variabilis,139208,3307740,,
Niabella ginsenosidivorans,1176587,5627734,,
Metakosakonia sp. MRY16-398,2487150,6191129,,
Pseudogulbenkiania sp. NH8B,748280,4332995,,
Dokdonella koreensis,323415,4446619,,
Mesorhizobium australicum,536018,6200534,,
Chryseobacterium camelliae,1265445,4376354,,
Syntrophobacter fumaroxidans,119484,4990251,,
Streptomyces sp. ADI95-16,1522758,9086421,,
Candidatus Amoebophilus asiaticus,281120,1884364,,
Pirellula staleyi,125,6196199,,
Actinomyces howellii,52771,3148934,,
Bdellovibrio exovorus,453816,2657893,,
Rhodococcus sp. ABRD24,2507582,5098030,,
Leptospirillum sp. Group II 'CF-1',1660083,2709324,,
Paenibacillus graminis,189425,7166464,,
Aeromicrobium sp. 592,2079793,3717741,,
Cardiobacterium hominis,2718,2670755,,
Arcobacter trophiarum,708186,1915613,,
Hungateiclostridium clariflavum,288965,4897678,,
Polaribacter sp. KT 15,1896175,3221776,,
Acinetobacter sp. TTH0-4,1646498,2953720,,
Mycoplasma meleagridis,29561,644173,,
Altererythrobacter sp. ZODW24,2185142,2813382,,
Bacillus vallismortis,72361,3958372,,
Bradyrhizobium icense,1274631,8322773,,
Rhodococcus erythropolis,1833,6806506,,
Pseudomonas silesiensis,1853130,6823539,,
Thermovirga lienii,336261,1743700,,
Saccharopolyspora erythraea,1836,8212805,,
Arcobacter sp. L,944547,2947662,,
Brachybacterium sp. SGAir0954,2571029,3410111,,
Burkholderia plantarii,41899,8081051,,
Mycobacteroides abscessus,36809,5082434,,
Anoxybacillus amylolyticus,294699,3158269,,
Corynebacterium frankenforstense,1230998,2604152,,
Lachnospiraceae bacterium Choco86,2109690,2785030,,
Nitrosococcus watsonii,473531,3373286,,
Erysipelotrichaceae bacterium GAM147,2109692,2753585,,
Capnocytophaga haemolytica,45243,2688499,,
Microbacterium aurum,36805,3424892,,
Terribacillus goriensis,386490,3577082,,
Corynebacterium sp. NML98-0116,702967,2365449,,
Bradymonas sediminis,1548548,5045683,,
Sphaerochaeta globosa,1131703,3316466,,
Sphaerochaeta pleomorpha,1131707,3590853,,
Arcticibacterium luteifluviistationis,1784714,5379839,,
Thiomicrospira sp. S5,1803865,2770466,,
Leucobacter triazinivorans,1784719,3478815,,
Bifidobacterium indicum,1691,2020730,,
Woeseia oceani,1548547,4059891,,
Streptomyces sp. DUT11,1914992,8027164,,
Chloracidobacterium thermophilum,458033,3695372,,
Maritalea myrionectae,454601,3703346,,
Streptomyces peucetius,1950,9528656,,
Cellvibrio sp. PSBB006,1987723,5257074,,
Sphingomonas sanxanigenens,397260,6580298,,
Thermobacillus composti,377615,4355525,,
Flavobacterium pallidum,2172098,3552756,,
Microcystis sp. MC19,1967666,5020243,,
Lysinibacillus sp. 2017,2169540,3737915,,
Zobellella denitrificans,347534,4174222,,
Colwellia beringensis,1967665,4661274,,
Clostridium sp. DL-VIII,641107,6477357,,
Sphingopyxis sp. FD7,1914525,3938226,,
Capnocytophaga sp. ChDC OS43,209053,NA,,
Stappia sp. ES.058,1881061,4626254,,
Serratia sp. 1D1416,2447890,5552047,,
Brevibacterium linens,1703,3814300,,
Klebsiella quasipneumoniae,1463165,5391123,,
Borrelia turcica,229155,1283624,,
Campylobacter gracilis,824,2281652,,
Campylobacter ureolyticus,827,1820334,,
Aequorivita sp. H23M31,2494375,3682614,,
Bacteroides vulgatus,821,4977532,,
Euzebyella marina,1761453,4707469,,
Nitrosomonas communis,44574,4067838,,
Nitrosomonas ureae,44577,3307820,,
Haliangium ochraceum,80816,9446314,,
Bacillus aryabhattai,412384,5254250,,
Rhodospirillum centenum,34018,4355543,,
Clostridium autoethanogenum,84023,4352446,,
Mesorhizobium sp. WSM1497,278153,7198121,,
secondary endosymbiont of Trabutina mannipara,1835721,298471,,
Pectobacterium parmentieri,1905730,5227302,,
Virgibacillus halodenitrificans,1482,3917759,,
Spiribacter curvatus,1335757,1926631,,
Burkholderia sp. JP2-270,2217913,8925310,,
Herbaspirillum rubrisubalbicans,80842,5611261,,
Pseudomonas sp. S150,2559074,6304843,,
Pseudomonas orientalis,76758,5919814,,
Pseudomonas monteilii,76759,6079134,,
Cellulomonas flavigena,1711,4123179,,
Cellulosimicrobium cellulans,1710,4411608,,
Methylomicrobium buryatense,95641,4998879,,
Psychrobacter sp. YP14,2203895,2895311,,
Corynebacterium pseudotuberculosis,1719,2337866,,
Corynebacterium glutamicum,1718,3350619,,
Chryseobacterium lactis,1241981,5618212,,
Nitratireductor basaltis,472175,3551806,,
Yersinia massiliensis,419257,5050276,,
Lachnospiraceae bacterium oral taxon 500,712991,3244740,,
Spiroplasma gladiatoris,2143,1164642,,
Ruminococcus champanellensis,1161942,2573208,,
Enterococcus casseliflavus,37734,3427276,,
Runella sp. HYN0085,2259595,7162093,,
Thermodesulfobium narugense,184064,1898865,,
Nocardiopsis gilva,280236,6142152,,
Mycobacterium kansasii,1768,6577228,,
Rhizobium pusense,648995,5375961,,
Acinetobacter johnsonii,40214,3540498,,
Acinetobacter junii,40215,3438557,,
Acinetobacter radioresistens,40216,3089777,,
Micromonospora sp. L5,648999,6962533,,
Thermincola potens,863643,3157416,,
Arthrospira sp. TJSD092,2153484,6434389,,
Streptomyces sp. endophyte_N2,2153485,8428700,,
Streptococcus ruminantium,1917441,2081190,,
Enterococcus avium,33945,4537641,,
Kyrpidia tusciae,33943,3384766,,
Geobacillus thermodenitrificans,33940,3505276,,
Candidatus Paracaedibacter acanthamoebae,91604,2485110,,
Phaeobacter porticola,1844006,4207221,,
Massilia sp. YMA4,1593482,6328781,,
Octadecabacter arcticus,53946,5478249,,
Kosakonia oryzae,497725,5416158,,
Hafnia sp. CBA7124,1848580,4585298,,
Tenacibaculum sp. DSM 106434,2358479,3511804,,
Blattabacterium sp. (Blatta orientalis),367806,638184,,
Virgibacillus dokdonensis,302167,4263520,,
Salinicoccus halodurans,407035,2778379,,
Anaeromyxobacter dehalogenans,161493,5029329,,
Bordetella parapertussis,519,4773835,,
Bordetella bronchiseptica,518,5199761,,
Burkholderia sp. KK1,1855726,9715952,,
Stenotrophomonas maltophilia,40324,4481118,,
Pseudomonas savastanoi,29438,5999881,,
Staphylococcus saprophyticus,29385,2635789,,
Microvirga sp. 17 mud 1-3,2082949,4403107,,
Alcaligenes faecalis,511,4248684,,
Synechococcus sp. KORDI-52,585425,2572069,,
Staphylococcus capitis,29388,2491837,,
Alteromonas stellipolaris,233316,4649146,,
Psychrobacter sp. G,571800,3113999,,
Sulfitobacter sp. SK025,1389011,3386090,,
Synechococcus sp. KORDI-49,585423,2585813,,
Shigella flexneri,623,4828820,,
Gammaproteobacteria bacterium soil36-7,2259620,4258501,,
Lautropia mirabilis,47671,3172010,,
Mycoplasma maculosum,114885,919297,,
Shigella sonnei,624,4762774,,
Rhodoluna lacicola,529884,1430433,,
Ndongobacter massiliensis,1871025,1864878,,
Massilia armeniaca,2072590,6337491,,
Xenorhabdus nematophila,628,4275642,,
Enterobacter sp. E20,1560339,4763114,,
Lachnoclostridium phocaeense,1871021,3500754,,
Nitrosococcus oceani,1229,3522111,,
Altererythrobacter epoxidivorans,361183,2786256,,
Rickettsia endosymbiont of Bemisia tabaci,337479,"1,380,000",,https://www.kegg.jp/kegg-bin/show_organism?org=ric
Cupriavidus sp. USMAA2-4,876364,8698226,,
Carnobacterium inhibens,147709,2497115,,
Pseudarthrobacter equi,728066,4459178,,
Formosa agariphila,320324,4228350,,
cyanobacterium endosymbiont of Rhopalodia gibberula,1763363,3020309,,
Pseudomonas sp. LBUM920,2126069,6533866,,
Ornithobacterium rhinotracheale,28251,2397867,,
Nostoc punctiforme,272131,9059191,,
Streptomyces sp. WAC 01438,2203204,8201167,,
Cobetia marina,28258,4177239,,
Tenericutes bacterium MZ-XQ,1911683,2157199,,
Acinetobacter lwoffii,28090,3528101,,
Neisseria weaveri,28091,2238481,,
Lactobacillus jensenii,109790,1672949,,
Burkholderia gladioli,28095,8201484,,
[Eubacterium] sulci,143393,1529470,,
Maize bushy stunt phytoplasma,202462,576118,,
Rhodococcus fascians,1828,5502110,,
Novibacillus thermophilus,1471761,3629225,,
Microbulbifer sp. A4B17,359370,5035829,,
Bartonella bovis,155194,1624667,,
Staphylococcus succinus,61015,2745675,,
Clostridium carboxidivorans,217159,5752782,,
secondary endosymbiont of Ctenarytaina eucalypti,1199245,1441139,,
Cellulomonas sp. Z28,2566013,3909366,,
Spiroplasma helicoides,216938,1326546,,
Microbacterium oxydans,82380,3892546,,
Bacillus jeotgali,129985,4703554,,
Spiroplasma culicicola,216935,1175131,,
Streptomyces dengpaensis,2049881,8710171,,
Spiroplasma chrysopicola,216933,1123322,,
Rathayibacter tritici,33888,3354681,,
Spiroplasma alleghenense,216931,1336077,,
Shewanella sp. FDAARGOS_354,1930557,5069981,,
Rhizobium sp. ACO-34A,1571470,6284736,,
Francisella sp. TX077308,573569,2035931,,
Candidatus Cardinium hertigii,247481,1193042,,
Pseudomonas sp. DY-1,1755504,5912748,,
Dictyoglomus thermophilum,14,1959987,,
Bacillus mesonae,1193713,5807726,,
Catharanthus roseus' aster yellows phytoplasma,1193712,603949,,
Pelobacter carbinolicus,19,3665893,,
Vibrio sp. 2521-89,2014742,4028322,,
Pseudomonas arsenicoxydans,702115,6502978,,
Methylomonas koyamae,702114,5102400,,
Novosphingobium sp. PP1Y,702113,5313905,,
Enterobacter sp. ODB01,1827481,4534036,,
Methylovulum psychrotolerans,1704499,4923400,,
Conexibacter woesei,191495,6359369,,
Ruminococcus bicirculans,1160721,2968500,,
Spirochaeta africana,46355,3285855,,
Candidatus Coxiella mudrowiae,2054173,1715759,,
Erwinia tasmaniensis,338565,4067864,,
Enterobacteriaceae bacterium ENNIH1,2066051,5666332,,
Serratia ficaria,61651,5209973,,
Devosia sp. H5989,1643450,4594249,,
Serratia rubidaea,61652,4995010,,
Pectobacterium wasabiae,55208,5043228,,
Corynebacterium atypicum,191610,2359448,,
Entomoplasma somnilux,215578,868413,,
Oceanobacillus iheyensis,182710,3630528,,
Segniliparus rotundus,286802,3157527,,
Caldicellulosiruptor owensensis,55205,2428903,,
Sedimentitalea sp. W43,2483033,5080916,,
Shewanella sp. Pdp11,2059264,4973697,,
Candidatus Saccharimonas aalborgensis,1332188,1013781,,
Parageobacillus genomosp. 1,1295642,3622385,,
Methyloceanibacter sp. wino2,2170729,3209973,,
Pseudomonas thivervalensis,86265,6604078,,
Oceanithermus profundus,187137,2439291,,
Chlorobium chlorochromatii,337090,1456049,,
Halomonas huangheensis,1178482,4757486,,
Arenibacter algicola,616991,5857781,,
Citrobacter sp. SNU WT2,2562449,4946572,,
Xanthomonas vesicatoria,56460,5349905,,
Nonomuraea sp. ATCC 55076,1909395,13047416,,
Acidothermus cellulolyticus,28049,2443540,,
Agarivorans gilvus,680279,4322130,,
Bacillus methanolicus,1471,3426513,,
Vibrio antiquarius,150340,5089025,,
Austwickia chelonae,100225,3544343,,
Sporosarcina psychrophila,1476,4674191,,
Candidatus Kinetoplastibacterium sorsogonicusi,1576550,741697,,
Rhizobium sp. CIAT894,2020312,6657947,,
Rhizobium sp. Kim5,2020311,6817255,,
Dyella thiooxydans,445710,4227172,,
Serpentinomonas raichei,1458425,2574013,,
Campylobacter curvus,200,1974918,,
Serpentinomonas mccroryi,1458426,2623236,,
Campylobacter showae,204,2097887,,
Weissella sp. 26KH-42,2506420,3020651,,
Campylobacter sputorum,206,1725016,,
Synechococcus sp. PCC 7002,32049,3482690,,
Magnetospirillum gryphiswaldense,55518,4365796,,
Endozoicomonas montiporae,1027273,5430256,,
Paenibacillus yonginensis,1462996,4985901,,
Ferriphaselus amnicola,1188319,2717229,,
Serratia fonticola,47917,6000511,,
Polynucleobacter asymbioticus,576611,2159490,,
Polynucleobacter necessarius,576610,1825583,,
Stenotrophomonas sp. ASS1,2282124,4564481,,
Exiguobacterium sp. N4-1P,2051906,3644207,,
Paenalcaligenes hominis,643674,2731429,,
Enterobacter sp. CRENT-193,2051905,5011160,,
Nocardioides dokdonensis,450734,4376707,,
Paenibacillus naphthalenovorans,162209,5200139,,
Bacillus smithii,1479,3381292,,
Synechococcus sp. PCC 7003,374981,3345085,,
Synechococcus sp. PCC 73109,374982,3298676,,
Psychromonas ingrahamii,357794,4559598,,
Vibrio sp. dhg,2163016,5488599,,
Salimicrobium jeotgali,1230341,2776927,,
Borreliella bavariensis,664662,986914,,
Shewanella livingstonensis,150120,4839879,,
Bacillus beveridgei,632773,3582268,,
Leifsonia xyli,1575,2686418,,
alpha proteobacterium HIMB5,859653,1343202,,
Bordetella sp. HZ20,2163011,4227194,,
Desulfococcus oleovorans,181663,3944167,,
Dehalogenimonas formicexedens,1839801,2092789,,
Halothiobacillus sp. LS2,1860122,2908964,,
Capnocytophaga sp. H2931,1945657,2632967,,
Streptococcus salivarius,1304,2185075,,
Prevotella ruminicola,839,3439340,,
Mariniflexile sp. TRM1-10,2027857,4858325,,
Streptococcus sanguinis,1305,2449527,,
Dialister pneumosintes,39950,1247407,,
Mycoplasma capricolum,2095,1010023,,
Gloeobacter kilaueensis,1416614,4724791,,
Mycoplasma genitalium,2097,580076,,
Tumebacillus algifaecis,1214604,4516965,,
Streptomyces collinus,42684,8858480,,
Paraburkholderia phymatum,148447,8676562,,
Cellulomonas sp. PSBB021,2003551,3794193,,
Sulfurospirillum deleyianum,65553,2306351,,
Saccharothrix espanaensis,103731,9360653,,
Mycoplasma hominis,2098,715165,,
Desulfocapsa sulfexigens,65555,4023512,,
Spiroplasma eriocheiris,315358,1365714,,
Rahnella sp. Y9602,741091,5608617,,
Porphyrobacter sp. HT-58-2,2023229,3279145,,
Hydrogenophaga sp. PBC,795665,5232477,,
Streptococcus oralis,1303,1931548,,
Hyphomonas sp. Mor2,1906738,3628091,,
Halioglobus japonicus,930805,4064193,,
Rhodococcus sp. MTM3W5.2,1805827,5665081,,
Geobacter anodireducens,1340425,3629220,,
Blastochloris sp. GI,2233851,3949390,,
Methylocella tundrae,227605,4523850,,
Planococcus faecalis,1598147,3495892,,
Verrucomicrobia bacterium IMCC26134,1637999,4001000,,
Dickeya dianthicola,204039,4909058,,
Dickeya dadantii,204038,4922802,,
Lacinutrix venerupis,1486034,3192399,,
Chryseobacterium sp. 17S1E7,2497456,5069854,,
Azoarcus sp. BH72,62928,"4,376,040 base pairs",,https://www.nature.com/articles/nbt1243
Verrucomicrobium sp. GAS474,1882831,3763544,,
Methylibium petroleiphilum,105560,4643639,,
Frankineae bacterium MT45,1882833,4228702,,
Paenibacillaceae bacterium GAS479,1882832,5519819,,
Streptococcus mutans,1309,2028032,,
Bradyrhizobium erythrophlei,1437360,7525217,,
Streptomyces sp. SCSIO 03032,1109743,"6,287,975",,https://www.mdpi.com/1660-3397/19/11/621
Shewanella sp. ANA-3,94122,5251146,,
Luteimonas sp. JM171,1896164,2992353,,
Heliobacterium modesticaldum,35701,3075407,,
Carnobacterium divergens,2748,2629627,,
Pedobacter cryoconitis,188932,6080251,,
Rhodococcus rhodochrous,1829,5612657,,
Brevundimonas subvibrioides,74313,3445263,,
Nocardia asteroides,1824,6983363,,
Actinosynnema pretiosum,42197,8131572,,
Christensenella minuta,626937,2969292,,
Herbaspirillum sp. meg3,2025949,5465798,,
Clostridium aceticum,84022,4207037,,
Maricaulis maris,74318,3568848,,
Modestobacter marinus,477641,5109904,,
Hyphomonas neptunium,81032,3705021,,
Spiroplasma taiwanense,2145,1086278,,
Anabaena sp. 90,46234,5305675,,
Brucella sp. 141012304,1885919,4100000,,https://www.mdpi.com/1422-0067/21/20/7749
Acidithiobacillus ferrooxidans,920,3257037,,
Starkeya novella,921,4765023,,
Candidatus Ruthia magnifica,386487,1160782,,
Polaribacter reichenbachii,996801,4125014,,
Pseudomonas cichorii,36746,5986012,,
Thiomonas intermedia,926,3343428,,
Halothiobacillus neapolitanus,927,2582886,,
Borrelia mayonii,1674146,1302058,,
Psychrobacter sp. PRwf-1,349106,"4,849,532",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3632715/
Shewanella baltica,62322,5368767,,
Labrenzia sp. CP4,1674922,6051301,,
Arthrobacter sp. YC-RL1,1652545,4027994,,
Geobacter pickeringii,345632,3618700,,
Acetobacter persici,1076596,3505525,,
Labrenzia sp. VG12,2021862,5977548,,
Pediococcus claussenii,187452,1950035,,
Virgibacillus sp. SK37,403957,3630690,,
Streptomyces reticuli,1926,9336224,,
Neisseria elongata,495,2397276,,
Dokdonia sp. Dokd-P16,2173169,3623447,,
Xanthomonas fragariae,48664,4328441,,
Bacillus sp. WP8,756828,3685810,,
Paraburkholderia phenoliruptrix,252970,7651131,,
Pseudanabaena sp. ABRG5-3,685565,5657972,,
Fibrobacter succinogenes,833,3843004,,
Butyrivibrio fibrisolvens,831,4934347,,
Microbacterium sp. dk512,2541726,3828279,,
Candidatus Pantoea carbekii,1235990,1196948,,
Cardinium endosymbiont of Sogatella furcifera,650378,1103593,,
endosymbiont of Euscepes postfasciatus,650377,219841,,
Neisseria sicca,490,2566407,,
Tenericutes bacterium MO-XQ,1911684,2160980,,
Pseudomonas chlororaphis,587753,6827675,,
Thermocrinis ruber,75906,1521037,,
Bosea sp. AS-1,2015316,5838389,,
Halioglobus pacificus,930806,3418305,,
Dehalobacter sp. CF,1131462,3092048,,
Thermosipho melanesiensis,46541,1915344,,
Thauera sp. MZ1T,85643,"4,496,212",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558969/
Francisella hispaniensis,622488,1945310,,
Psychrobacter urativorans,45610,2931580,,
[Mycobacterium] stephanolepidis,1520670,4994485,,
Methylocella silvestris,199596,4305430,,
Desulfovibrio fairfieldensis,44742,3699310,,
Bradyrhizobium sp. CCGE-LA001,1223566,7833499,,
Microbacterium paraoxydans,199592,3552313,,
Streptomyces olivaceus,47716,8458055,,
Azospirillum sp. TSH58,664962,7113474,,
Ectothiorhodospira sp. BSL-9,1442136,3550080,,
